diagnosis_postcode,current_postcode,count
4118,4118,11
4118,4124,1
4118,4301,1
4118,4340,1
4119,4119,1
4119,4124,1
4120,4285,1
4121,4121,8
4121,6151,1
4122,3085,1
4122,4121,1
4122,4122,10
4122,4127,1
4123,4123,4
4123,4127,1
4124,4118,1
4124,4124,11
4125,4118,1
4125,4125,5
4125,4280,1
4127,4114,2
4127,4127,6
4128,4128,5
4128,4152,1
4128,4172,1
4129,4129,6
4130,4123,1
4130,4130,2
4131,4131,4
4132,4131,1
4132,4132,16
4132,4280,1
4133,4133,7
4151,4151,4
4152,4102,1
4152,4152,7
4153,4153,2
4154,4154,5
4157,4018,1
4157,4157,9
4157,4161,1
4158,4158,1
4159,4159,7
4159,4161,1
4160,4160,10
4161,4161,3
4163,4128,1
4163,4163,2
4164,4164,4
4164,4165,1
4165,4132,1
4165,4159,1
4165,4164,1
4165,4165,15
4170,4078,1
4170,4170,7
4171,4171,3
4172,4172,1
4173,4173,1
4178,4178,10
4178,4179,2
4179,4151,1
4179,4154,1
4179,4178,5
4179,4179,7
4179,4305,1
4179,4512,1
4205,4205,2
4207,4207,11
4207,4208,1
4207,4285,1
4208,4207,2
4208,4208,4
4208,4655,1
4209,4165,1
4209,4209,2
4210,4209,1
4210,4210,1
4211,4211,8
4212,4212,2
4213,4213,3
4214,4214,3
4215,4212,1
4215,4215,4
4216,4216,2
4217,4217,1
4218,4218,1
4221,4221,5
4226,4226,4
4227,4211,1
4270,4270,3
4270,4285,1
4280,4207,1
4280,4280,5
4285,4078,1
4285,4280,1
4285,4285,4
4287,4287,1
4300,4300,17
4300,4301,3
4300,4660,1
4301,4301,5
4303,4303,2
4304,4133,1
4304,4304,1
4304,4306,1
4305,4305,7
4305,4306,1
4306,4073,1
4306,4306,8
4310,4310,1
4311,4311,3
4313,4313,1
4340,4340,1
4341,4341,3
4342,4342,1
4350,4350,18
4350,4556,1
4350,4570,1
4350,6157,1
4352,4352,7
4355,4355,1
4355,4610,1
4362,4362,2
4370,4370,9
4373,4737,1
4380,4375,1
4380,4380,3
4385,4310,1
4385,4385,1
4390,4118,1
4390,4390,2
4401,4401,2
4401,4885,1
4405,4405,4
4413,4509,1
4428,4428,1
4455,4455,3
4472,4472,2
4487,4487,1
4498,4498,1
4500,4006,1
4500,4017,1
4500,4037,1
4500,4122,1
4500,4500,15
4500,4503,1
4500,4504,2
4501,4501,1
4502,4502,1
4503,4354,1
4503,4503,9
4503,4520,1
4503,4556,1
4503,4563,1
4504,4504,6
4505,4505,6
4506,4059,1
4506,4505,1
4506,4506,5
4507,4507,4
4508,4508,1
4509,4123,1
4509,4170,1
4509,4509,8
4510,4510,9
4510,6210,1
4511,4511,1
4514,2227,1
4515,4515,1
4518,4061,1
4519,4035,1
4519,4519,3
4520,4053,1
4520,4520,6
4550,4157,1
4551,4116,1
4551,4551,7
4552,4552,1
4555,4555,1
4556,4034,1
4556,4556,10
4557,4557,4
4558,4558,2
4560,4017,1
4560,4305,1
4560,4558,1
4560,4560,4
4560,6230,1
4561,4561,1
4562,4053,1
4562,4562,2
4563,4563,1
4565,4565,1
4566,4566,2
4567,4567,1
4570,4570,10
4570,4680,1
4572,4572,1
4573,4101,1
4573,4573,6
4575,4570,1
4575,4575,2
4600,4600,1
4606,4606,1
4606,4610,1
4610,4575,1
4610,4610,3
4614,4614,1
4615,4615,1
4650,4350,1
4650,4352,2
4650,4650,5
4655,4655,7
4662,4662,1
4670,4017,1
4670,4128,1
4670,4165,1
4670,4305,1
4670,4670,14
4671,4671,1
4677,4220,1
4700,4390,1
4701,4114,1
